season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,10,6,8,1,1,9,21,42.9,12,6,5,1,11,21,23,0
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,16,10,5,5,6,7,15,46.7,8,12,0,12,2,18,6,0
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,3
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,14,5,3,9,2,6,11,54.5,5,10,7,3,9,23,14,0
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,1,0,0,1,0,0,0,,0,4,1,3,0,1,1,0
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,3,2,3,0,0,2,4,50.0,2,4,1,3,2,5,0,0
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,7,4,4,3,0,4,7,57.1,3,23,17,6,6,13,39,1
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,9,7,1,3,5,4,11,36.4,7,4,0,4,1,10,9,0
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,9,0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,0,1
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,15,8,5,7,3,4,11,36.4,7,10,4,6,4,19,18,1
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,9,6,2,4,3,3,10,30.0,7,15,3,12,5,14,25,1
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,11,8,2,6,3,5,14,35.7,9,9,0,9,5,16,6,0
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,7,4,1,5,1,1,4,25.0,3,1,0,1,1,8,0,0
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,11,8,4,3,4,4,9,44.4,5,8,5,3,6,17,4,1
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,0,0,0,0,0,0,1,0.0,1,3,0,3,2,2,3,0
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,12,9,7,4,1,10,16,62.5,6,8,3,5,4,16,13,0
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,32,20,13,9,10,17,31,54.8,14,8,5,3,13,45,25,2
2425,Arsenal,William Saliba,FRA,DF,23-236,2001,9.3,27,17,18,9,0,12,13,92.3,1,7,2,5,7,34,29,1
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,7.8,25,15,13,10,2,8,16,50.0,8,9,5,4,16,41,16,2
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,0.4,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,1,0
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,5.2,4,1,3,1,0,0,1,0.0,1,3,2,1,4,8,18,2
2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-326,1996,0.3,2,2,1,1,0,0,2,0.0,2,2,0,2,0,2,0,0
2425,Aston Villa,Emiliano Martínez,ARG,GK,32-074,1992,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,2
2425,Aston Villa,Ezri Konsa,ENG,DF,27-023,1997,9.1,13,8,8,3,2,8,10,80.0,2,4,1,3,6,19,32,0
2425,Aston Villa,Ian Maatsen,NED,DF,22-250,2002,1.8,6,4,2,4,0,2,4,50.0,2,1,0,1,0,6,5,1
2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-171,2001,7.0,7,3,3,3,1,3,5,60.0,2,8,2,6,5,12,2,0
