season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,8,1.04,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,57,6.26,35,10,5,5,2,0,12,1.32,8,2,1,1,0,0
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,1,0.09,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,31,3.35,17,10,2,1,1,0,2,0.22,1,1,0,0,0,0
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,1,1.58,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,5,3.52,2,0,1,2,0,0,1,0.7,0,0,0,1,0,0
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,10,0.94,8,0,0,2,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,21,2.77,18,0,2,1,0,0,2,0.26,2,0,0,0,0,0
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,4,2.32,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,16,2.11,14,0,2,0,0,0,2,0.26,2,0,0,0,0,0
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,28,2.55,23,0,1,4,0,0,1,0.09,1,0,0,0,0,0
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,20,3.1,19,0,0,0,0,1,1,0.15,1,0,0,0,0,0
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,14,3.68,13,0,0,1,0,0,2,0.53,2,0,0,0,0,0
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,9,2.89,7,0,0,1,1,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,3,2.48,3,0,0,0,0,0,1,0.83,1,0,0,0,0,0
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,5,3.66,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,5,1.17,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,20,1.85,15,2,0,1,1,1,5,0.46,2,2,0,0,1,0
2425,Arsenal,William Saliba,FRA,DF,23-236,2001,9.3,9,0.97,8,0,0,0,0,1,0,0.0,0,0,0,0,0,0
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,7.8,13,1.66,8,1,0,4,0,0,2,0.26,1,0,0,1,0,0
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,5.2,2,0.38,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
