season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,2,0,0,7,3,1,7,11,6,0,0,0,20,10,3,76.9
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,1,0,0,8,23,1,54,2,10,0,0,0,39,5,11,31.3
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,2,0,0,1,3,0,0,1,0,0,1,0,8,5,0,100.0
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,4,1,1,10,6,1,55,9,5,0,0,0,47,8,8,50.0
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,0,0,0,1,2,1,3,0,0,0,0,0,5,0,0,
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,3,0,0,5,6,2,2,2,2,0,0,0,15,0,3,0.0
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,1,0,0,9,6,0,6,6,4,0,0,0,24,19,11,63.3
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,0,0,0,5,6,2,24,1,7,0,0,0,27,7,8,46.7
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,100.0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,2,0,0,3,3,0,0,0,1,0,0,0,12,1,1,50.0
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,3,0,0,11,3,1,9,4,8,0,0,0,28,4,12,25.0
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,2,0,0,20,12,7,5,5,6,0,0,0,24,37,49,43.0
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,2,1,1,5,7,1,10,5,8,0,0,0,30,1,8,11.1
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,1,0,0,3,4,0,5,1,4,0,0,0,14,1,0,100.0
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,1,0,0,8,4,1,2,6,8,0,0,0,17,10,7,58.8
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,0,0,0,3,0,0,2,2,0,0,0,0,5,3,4,42.9
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,0,0,0,1,0,0,5,0,0,0,0,0,4,0,1,0.0
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,1,0,0,9,4,0,5,4,9,0,0,0,13,10,4,71.4
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,2,0,0,19,16,0,3,13,20,0,0,0,42,13,5,72.2
