season,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,294,352,83.5,4830,1659,150,164,91.5,123,142,86.6,14,32,43.8,1,0.4,0.4,0.6,3,27,6,1,30
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,246,321,76.6,3720,1196,141,154,91.6,76,103,73.8,19,39,48.7,7,3.8,3.4,3.2,28,8,16,6,33
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,274,396,69.2,7652,5639,61,62,98.4,131,133,98.5,82,199,41.2,0,0.0,0.0,0.0,0,18,1,0,3
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,377,467,80.7,6610,1762,178,194,91.8,154,177,87.0,37,78,47.4,1,1.4,1.2,-0.4,14,39,9,0,60
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,25,30,83.3,388,118,15,15,100.0,7,8,87.5,3,5,60.0,0,0.1,0.2,-0.1,1,2,0,0,2
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,39,53,73.6,441,69,33,38,86.8,5,5,100.0,0,1,0.0,0,0.4,0.1,-0.4,3,2,1,0,2
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,526,599,87.8,9116,2691,223,235,94.9,265,290,91.4,30,59,50.8,0,0.4,0.5,-0.4,4,33,3,0,30
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,152,213,71.4,2268,480,94,116,81.0,49,67,73.1,7,13,53.8,2,1.7,1.8,0.3,12,3,10,5,15
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,26,34,76.5,444,131,13,16,81.3,11,13,84.6,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,1
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,62,73,84.9,1014,257,28,33,84.8,30,32,93.8,3,6,50.0,0,0.0,0.2,0.0,1,5,4,0,9
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,222,279,79.6,3386,1112,119,135,88.1,91,116,78.4,8,15,53.3,1,0.5,0.3,0.5,10,19,6,1,31
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,189,252,75.0,2314,561,137,165,83.0,46,59,78.0,2,8,25.0,1,1.1,1.1,-0.1,9,13,6,1,33
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,133,183,72.7,2479,799,53,69,76.8,62,78,79.5,14,22,63.6,0,0.8,0.4,-0.8,10,10,10,1,27
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,118,146,80.8,1792,527,67,77,87.0,48,57,84.2,2,4,50.0,1,0.7,1.0,0.3,9,17,10,1,29
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,93,124,75.0,1432,488,56,64,87.5,30,41,73.2,5,9,55.6,0,0.5,0.3,-0.5,3,12,7,0,19
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,9,12,75.0,133,79,7,8,87.5,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,2,0,0,2
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,79,98,80.6,1408,343,37,43,86.0,36,43,83.7,5,8,62.5,0,0.0,0.1,0.0,0,7,1,0,13
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,30,43,69.8,418,64,19,25,76.0,10,14,71.4,1,2,50.0,0,0.0,0.1,0.0,1,0,0,0,3
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,174,209,83.3,2739,661,98,108,90.7,63,77,81.8,11,12,91.7,0,0.1,0.4,-0.1,2,11,3,1,18
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,3,4,75.0,42,10,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,530,609,87.0,8630,2243,267,286,93.4,230,263,87.5,27,43,62.8,0,0.6,0.5,-0.6,7,46,13,1,65
2425,Arsenal,William Saliba,FRA,DF,23-236,2001,9.3,537,568,94.5,9430,2479,204,213,95.8,301,313,96.2,29,33,87.9,0,0.5,0.6,-0.5,2,38,1,0,26
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,7.8,283,317,89.3,4384,1046,144,152,94.7,117,127,92.1,13,15,86.7,0,0.1,0.2,-0.1,3,21,4,1,23
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,0.4,22,26,84.6,302,91,12,13,92.3,8,9,88.9,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,2
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,5.2,274,311,88.1,5546,2017,76,84,90.5,169,179,94.4,28,44,63.6,0,0.0,0.1,0.0,0,12,1,0,14
2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-326,1996,0.3,19,21,90.5,240,77,15,16,93.8,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,3
2425,Aston Villa,Emiliano Martínez,ARG,GK,32-074,1992,11.0,324,400,81.0,8832,5315,43,44,97.7,196,201,97.5,85,154,55.2,0,0.0,0.0,0.0,0,8,0,0,0
2425,Aston Villa,Ezri Konsa,ENG,DF,27-023,1997,9.1,449,488,92.0,7617,2355,185,193,95.9,241,249,96.8,16,32,50.0,0,0.1,0.3,-0.1,2,41,1,0,32
2425,Aston Villa,Ian Maatsen,NED,DF,22-250,2002,1.8,91,112,81.3,1480,541,42,50,84.0,38,41,92.7,8,11,72.7,0,0.9,0.7,-0.9,7,4,6,1,9
2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-171,2001,7.0,223,262,85.1,2863,685,159,173,91.9,52,61,85.2,4,8,50.0,2,1.3,1.2,0.7,8,12,7,0,28
2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-281,2002,2.2,35,45,77.8,448,82,22,27,81.5,11,12,91.7,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,2
2425,Aston Villa,Jhon Durán,COL,FW,20-338,2003,3.2,51,75,68.0,722,179,27,35,77.1,18,26,69.2,3,5,60.0,0,0.0,0.2,0.0,1,7,0,0,6
2425,Aston Villa,John McGinn,SCO,"FW,MF",30-028,1994,6.1,144,183,78.7,2496,690,60,69,87.0,68,77,88.3,14,25,56.0,0,0.4,0.8,-0.4,5,11,7,1,22
2425,Aston Villa,Kosta Nedeljković,SRB,DF,18-335,2005,1.1,31,36,86.1,548,134,16,17,94.1,12,15,80.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,3
2425,Aston Villa,Lamare Bogarde,NED,DF,20-315,2004,1.9,86,99,86.9,1265,446,55,60,91.7,28,31,90.3,2,5,40.0,0,0.1,0.1,-0.1,1,10,1,0,6
2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-098,1997,5.6,117,166,70.5,1749,452,68,84,81.0,39,48,81.3,6,15,40.0,2,1.0,1.3,1.0,8,5,13,2,18
2425,Aston Villa,Lucas Digne,FRA,DF,31-118,1993,9.3,355,463,76.7,5781,1829,182,199,91.5,144,187,77.0,22,51,43.1,2,2.4,1.8,-0.4,14,9,14,9,15
2425,Aston Villa,Matty Cash,POL,DF,27-100,1997,4.7,185,226,81.9,3073,1011,86,90,95.6,87,106,82.1,8,22,36.4,0,0.2,0.2,-0.2,2,12,1,1,14
2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-112,2002,10.0,193,255,75.7,2535,941,121,143,84.6,41,55,74.5,13,18,72.2,2,2.5,1.5,-0.5,16,20,12,0,31
2425,Aston Villa,Ollie Watkins,ENG,FW,28-321,1995,9.3,81,109,74.3,857,94,55,71,77.5,15,16,93.8,1,2,50.0,2,1.0,0.6,1.0,8,3,1,0,5
2425,Aston Villa,Pau Torres,ESP,DF,27-304,1997,11.0,562,650,86.5,9297,3461,262,279,93.9,262,283,92.6,31,72,43.1,0,0.0,0.2,0.0,1,62,6,0,40
2425,Aston Villa,Ross Barkley,ENG,MF,30-346,1993,3.1,156,178,87.6,2399,553,84,92,91.3,62,70,88.6,7,9,77.8,1,0.2,0.2,0.8,5,18,4,0,16
2425,Aston Villa,Youri Tielemans,BEL,MF,27-192,1997,10.8,584,712,82.0,10010,3671,277,310,89.4,248,278,89.2,51,100,51.0,3,2.7,2.4,0.3,24,89,14,3,79
2425,Bournemouth,Adam Smith,ENG,DF,33-200,1991,6.7,183,236,77.5,2782,904,95,111,85.6,76,95,80.0,6,19,31.6,0,0.1,0.1,-0.1,3,14,2,1,11
2425,Bournemouth,Alex Scott,ENG,MF,21-086,2003,2.9,116,132,87.9,2046,749,55,60,91.7,52,55,94.5,9,12,75.0,0,0.2,0.2,-0.2,5,22,4,0,32
2425,Bournemouth,Antoine Semenyo,GHA,FW,24-313,2000,10.7,223,315,70.8,3371,801,137,160,85.6,69,95,72.6,13,31,41.9,1,2.1,1.7,-1.1,13,19,9,2,24
2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-278,2002,4.6,75,141,53.2,1269,357,37,56,66.1,33,49,67.3,5,21,23.8,1,1.4,0.9,-0.4,5,1,2,2,6
2425,Bournemouth,Daniel Jebbison,ENG,FW,21-094,2003,0.3,3,5,60.0,38,6,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,1,1,0,0,0
2425,Bournemouth,David Brooks,WAL,"MF,FW",27-130,1997,0.5,13,19,68.4,256,85,5,7,71.4,6,7,85.7,2,4,50.0,0,0.3,0.3,-0.3,1,0,4,1,4
2425,Bournemouth,Dean Huijsen,ESP,DF,19-215,2005,2.4,128,153,83.7,2550,1082,39,41,95.1,75,87,86.2,14,23,60.9,0,0.2,0.0,-0.2,4,8,0,0,11
2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-189,1997,1.7,22,37,59.5,270,96,10,14,71.4,9,18,50.0,0,1,0.0,0,0.1,0.1,-0.1,2,2,3,0,7
2425,Bournemouth,Evanilson,BRA,FW,25-040,1999,7.9,64,98,65.3,874,168,41,59,69.5,14,18,77.8,5,6,83.3,0,0.7,0.6,-0.7,7,3,1,0,5
2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-075,2002,11.0,446,532,83.8,9499,3418,120,131,91.6,266,286,93.0,59,110,53.6,0,0.1,0.1,-0.1,1,40,2,0,39
2425,Bournemouth,Julian Araujo,MEX,DF,23-094,2001,3.9,131,166,78.9,2297,759,60,67,89.6,61,71,85.9,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14
2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-194,1999,6.9,127,178,71.3,2061,465,66,86,76.7,50,65,76.9,9,14,64.3,2,1.1,0.9,0.9,11,9,5,1,27
2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-043,1994,6.0,148,192,77.1,4289,2984,16,18,88.9,82,84,97.6,49,87,56.3,0,0.0,0.0,0.0,1,2,0,0,0
2425,Bournemouth,Lewis Cook,ENG,MF,27-286,1997,10.9,386,513,75.2,6826,2106,169,196,86.2,181,212,85.4,34,89,38.2,3,2.0,1.7,1.0,16,52,8,2,57
2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-151,1999,2.3,54,70,77.1,789,117,33,35,94.3,17,26,65.4,3,3,100.0,1,1.0,0.9,0.0,9,4,1,1,3
2425,Bournemouth,Marcos Senesi,ARG,DF,27-189,1997,8.6,369,484,76.2,7561,4086,133,155,85.8,181,209,86.6,53,110,48.2,0,0.3,0.4,-0.3,4,59,11,3,41
2425,Bournemouth,Marcus Tavernier,ENG,"MF,FW",25-238,1999,8.9,239,339,70.5,4020,1228,118,137,86.1,94,125,75.2,22,54,40.7,2,1.7,1.5,0.3,23,29,16,6,51
2425,Bournemouth,Mark Travers,IRL,GK,25-181,1999,3.0,51,72,70.8,1990,1697,4,4,100.0,21,22,95.5,26,46,56.5,0,0.0,0.0,0.0,0,0,0,0,0
2425,Bournemouth,Milos Kerkez,HUN,DF,21-008,2003,10.3,347,443,78.3,5619,1920,193,215,89.8,128,157,81.5,24,59,40.7,2,1.0,0.8,1.0,10,19,9,7,45
2425,Bournemouth,Neto,BRA,GK,35-119,1989,2.0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,0,0.0,0.0,0.0,0,2,0,0,0
2425,Bournemouth,Philip Billing,DEN,MF,28-157,1996,0.3,6,13,46.2,77,24,3,5,60.0,2,5,40.0,0,1,0.0,0,0.0,0.1,0.0,0,1,1,1,0
2425,Bournemouth,Ryan Christie,SCO,MF,29-267,1995,7.8,270,324,83.3,4637,1204,128,147,87.1,114,124,91.9,25,41,61.0,0,1.1,0.8,-1.1,11,30,10,1,43
