season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,352,292,58,12,1,5,7,42,0,0,0,0,294,2,2
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,321,282,37,4,3,0,54,6,27,24,0,2,246,2,9
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,396,314,80,29,0,0,0,0,0,0,0,0,274,2,0
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,467,395,70,25,0,8,55,1,32,27,3,0,377,2,4
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,30,26,3,1,0,0,3,0,2,2,0,0,25,1,0
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,53,50,2,0,0,0,2,2,0,0,0,0,39,1,7
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,599,573,26,15,0,3,6,1,0,0,0,0,526,0,5
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,213,207,6,0,0,1,24,5,1,1,0,0,152,0,12
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,34,30,4,2,0,1,0,2,0,0,0,0,26,0,0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,73,71,2,1,1,0,0,0,0,0,0,0,62,0,1
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,279,232,46,4,1,0,9,42,0,0,0,0,222,1,7
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,252,249,2,0,1,0,5,2,0,0,0,0,189,1,8
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,183,173,9,2,1,1,10,3,1,1,0,0,133,1,6
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,146,136,8,5,5,0,5,1,1,0,0,0,118,2,4
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,124,123,1,1,2,1,2,0,0,0,0,0,93,0,7
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,12,10,2,0,0,0,0,2,0,0,0,0,9,0,0
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,98,85,13,4,0,2,2,9,0,0,0,0,79,0,1
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,43,42,0,0,0,0,5,0,0,0,0,0,30,1,1
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,209,186,23,2,0,1,5,21,0,0,0,0,174,0,5
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,609,566,41,11,2,1,3,24,0,0,0,0,530,2,6
2425,Arsenal,William Saliba,FRA,DF,23-236,2001,9.3,568,558,9,8,0,2,0,0,0,0,0,0,537,1,2
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,7.8,317,314,2,2,0,0,1,0,0,0,0,0,283,1,7
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,0.4,26,26,0,0,0,0,0,0,0,0,0,0,22,0,0
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,5.2,311,296,14,8,0,4,0,0,0,0,0,0,274,1,0
2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-326,1996,0.3,21,21,0,0,1,0,0,0,0,0,0,0,19,0,0
2425,Aston Villa,Emiliano Martínez,ARG,GK,32-074,1992,11.0,400,329,70,21,0,1,0,0,0,0,0,0,324,1,0
2425,Aston Villa,Ezri Konsa,ENG,DF,27-023,1997,9.1,488,445,43,30,6,0,2,11,0,0,0,0,449,0,7
2425,Aston Villa,Ian Maatsen,NED,DF,22-250,2002,1.8,112,84,28,4,0,0,10,20,4,2,0,0,91,0,6
2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-171,2001,7.0,262,260,1,0,2,1,5,1,0,0,0,0,223,1,6
2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-281,2002,2.2,45,44,1,0,0,0,2,1,0,0,0,0,35,0,3
2425,Aston Villa,Jhon Durán,COL,FW,20-338,2003,3.2,75,70,4,0,2,0,2,0,0,0,0,0,51,1,2
2425,Aston Villa,John McGinn,SCO,"FW,MF",30-028,1994,6.1,183,175,8,3,2,0,17,2,3,1,1,0,144,0,6
