season,team,player,nation,pos,age,born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,419,37,137,191,93,7,419,2,0,0.0,1,50.0,193,672,332,4,7,1,7,3,245,15
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,446,5,31,103,314,69,446,44,18,40.9,18,40.9,279,1739,948,39,8,23,18,24,318,108
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,419,283,400,19,0,0,419,0,0,,0,,259,1365,869,0,0,0,1,0,219,0
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,544,26,104,245,200,22,544,11,6,54.5,4,36.4,263,1624,851,24,19,6,6,12,342,31
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,40,0,6,14,20,2,40,3,2,66.7,0,0.0,24,220,106,4,2,1,3,2,26,5
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,81,3,9,24,48,14,81,9,3,33.3,4,44.4,59,332,194,7,3,4,4,3,57,14
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,691,86,277,335,83,16,691,3,3,100.0,0,0.0,396,1550,901,3,4,0,0,1,500,6
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,295,7,37,77,188,51,295,35,14,40.0,13,37.1,182,1508,876,39,16,16,15,13,209,89
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,46,11,25,17,4,0,46,2,1,50.0,1,50.0,16,49,7,0,0,0,0,0,22,0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,80,1,16,41,24,0,80,0,0,,0,,39,194,121,2,0,0,2,4,56,0
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,362,25,93,156,116,14,362,13,8,61.5,4,30.8,166,802,368,12,3,3,6,5,185,22
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,418,23,66,152,204,56,418,26,6,23.1,16,61.5,210,1052,520,20,16,11,26,11,299,60
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,250,7,45,80,131,36,250,15,6,40.0,8,53.3,151,998,409,16,14,5,9,16,173,32
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,172,1,12,81,83,17,172,10,5,50.0,5,50.0,120,778,323,10,3,6,3,10,131,13
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,164,9,30,88,49,10,164,2,2,100.0,0,0.0,86,378,160,2,3,1,6,4,114,16
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,15,1,8,2,5,1,15,0,0,,0,,5,26,22,1,0,0,0,0,8,1
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,107,6,23,63,22,3,107,1,1,100.0,0,0.0,59,373,152,1,2,0,2,1,66,3
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,55,0,0,13,42,13,55,9,6,66.7,1,11.1,42,376,225,9,2,10,2,4,42,12
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,257,17,81,90,88,11,257,8,6,75.0,1,12.5,110,564,260,3,5,2,6,0,139,9
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,707,35,159,366,185,6,707,7,4,57.1,2,28.6,367,1689,822,4,10,0,9,9,474,7
2425,Arsenal,William Saliba,FRA,DF,23-236,2001,9.3,644,53,262,362,23,5,644,4,4,100.0,0,0.0,384,1688,876,5,4,0,4,2,475,2
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,7.8,414,33,124,223,77,13,414,9,6,66.7,2,22.2,225,1055,517,8,10,0,5,6,257,6
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,0.4,30,1,8,18,4,0,30,1,0,0.0,0,0.0,18,52,27,0,0,0,1,0,20,0
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,5.2,347,47,174,168,7,2,347,1,1,100.0,0,0.0,238,1078,514,1,2,0,0,1,252,0
2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-326,1996,0.3,25,0,2,15,9,0,25,0,0,,0,,20,68,48,2,3,0,1,1,22,4
