season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
2425,Arsenal,Ben White,ENG,DF,27-038,1997,7.7,0,4,1,25.0,0.52,0.13,0.0,0.0,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,9.1,3,31,12,38.7,3.4,1.32,0.1,0.25,16.1,0,0,0,2.5,2.5,0.08,0.5,0.5
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,9.2,0,10,2,20.0,1.08,0.22,0.0,0.0,19.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,0.6,0,2,1,50.0,3.16,1.58,0.0,0.0,25.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,1.4,0,6,2,33.3,4.25,1.42,0.0,0.0,13.5,0,0,0,0.6,0.6,0.1,-0.6,-0.6
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,10.6,2,12,4,33.3,1.13,0.38,0.17,0.5,8.5,0,0,0,1.4,1.4,0.12,0.6,0.6
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,7.6,3,13,7,53.8,1.72,0.92,0.23,0.43,13.4,0,0,0,2.1,2.1,0.16,0.9,0.9
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,1.7,0,1,0,0.0,0.58,0.0,0.0,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,7.6,0,6,0,0.0,0.79,0.0,0.0,,17.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11.0,4,28,10,35.7,2.55,0.91,0.14,0.4,12.1,0,0,0,4.5,4.5,0.16,-0.5,-0.5
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,6.4,2,14,4,28.6,2.17,0.62,0.14,0.5,15.8,0,0,0,2.0,2.0,0.14,0.0,0.0
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,3.8,0,5,2,40.0,1.31,0.52,0.0,0.0,16.4,0,0,0,0.6,0.6,0.11,-0.6,-0.6
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,3.1,1,6,2,33.3,1.93,0.64,0.17,0.5,12.6,0,0,0,1.0,1.0,0.17,0.0,0.0
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,1.4,0,2,0,0.0,1.46,0.0,0.0,,10.1,0,0,0,0.3,0.3,0.17,-0.3,-0.3
2425,Arsenal,Reiss Nelson,ENG,FW,24-341,1999,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Arsenal,Riccardo Calafiori,ITA,DF,22-180,2002,4.3,1,4,4,100.0,0.93,0.93,0.25,0.25,14.5,0,0,0,0.5,0.5,0.13,0.5,0.5
2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-010,1998,0.1,0,1,0,0.0,12.86,0.0,0.0,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2
2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-155,1993,10.8,1,7,2,28.6,0.65,0.19,0.14,0.5,20.4,0,0,0,0.6,0.6,0.08,0.4,0.4
2425,Arsenal,William Saliba,FRA,DF,23-236,2001,9.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,7.8,2,11,4,36.4,1.41,0.51,0.18,0.5,11.6,0,0,0,1.6,1.6,0.14,0.4,0.4
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,5.2,0,2,1,50.0,0.38,0.19,0.0,0.0,7.0,0,0,0,0.5,0.5,0.23,-0.5,-0.5
2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-326,1996,0.3,0,1,0,0.0,3.91,0.0,0.0,,20.4,1,0,0,0.1,0.1,0.09,-0.1,-0.1
2425,Aston Villa,Emiliano Martínez,ARG,GK,32-074,1992,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Aston Villa,Ezri Konsa,ENG,DF,27-023,1997,9.1,1,3,2,66.7,0.33,0.22,0.33,0.5,9.7,0,0,0,0.4,0.4,0.12,0.6,0.6
2425,Aston Villa,Ian Maatsen,NED,DF,22-250,2002,1.8,0,1,0,0.0,0.56,0.0,0.0,,59.0,0,0,0,0.0,0.0,0.01,0.0,0.0
2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-171,2001,7.0,0,10,3,30.0,1.42,0.43,0.0,0.0,17.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7
2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-281,2002,2.2,0,5,0,0.0,2.25,0.0,0.0,,15.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
2425,Aston Villa,Jhon Durán,COL,FW,20-338,2003,3.2,4,14,6,42.9,4.36,1.87,0.29,0.67,14.9,0,0,0,2.4,2.4,0.17,1.6,1.6
2425,Aston Villa,John McGinn,SCO,"FW,MF",30-028,1994,6.1,0,8,0,0.0,1.3,0.0,0.0,,17.5,0,0,0,0.6,0.6,0.08,-0.6,-0.6
2425,Aston Villa,Kosta Nedeljković,SRB,DF,18-335,2005,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Aston Villa,Lamare Bogarde,NED,DF,20-315,2004,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-098,1997,5.6,0,9,1,11.1,1.61,0.18,0.0,0.0,17.8,1,0,0,0.4,0.4,0.05,-0.4,-0.4
2425,Aston Villa,Lucas Digne,FRA,DF,31-118,1993,9.3,0,6,1,16.7,0.64,0.11,0.0,0.0,19.9,2,0,0,0.5,0.5,0.09,-0.5,-0.5
