season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
2425,Arsenal,Ben White,ENG,DF,27-038,1997,9,7,695,7.7,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,4,30,15,0.0,0.13,0.13,0.0,0.13,0.02,0.06,0.07,0.02,0.07
2425,Arsenal,Bukayo Saka,ENG,"MF,FW",23-071,2001,10,10,820,9.1,3,7,10,3,0,0,1,0,2.5,2.5,3.8,6.3,39,33,108,0.33,0.77,1.1,0.33,1.1,0.27,0.42,0.69,0.27,0.69
2425,Arsenal,David Raya,ESP,GK,29-061,1995,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Arsenal,Declan Rice,ENG,MF,25-306,1999,10,10,832,9.2,0,1,1,0,0,0,4,1,0.7,0.7,1.4,2.1,24,60,31,0.0,0.11,0.11,0.0,0.11,0.08,0.15,0.23,0.08,0.23
2425,Arsenal,Ethan Nwaneri,ENG,"MF,FW",17-239,2007,5,0,57,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,2,5,0.0,0.0,0.0,0.0,0.0,0.09,0.17,0.25,0.09,0.25
2425,Arsenal,Gabriel Jesus,BRA,"FW,MF",27-226,1997,9,1,127,1.4,0,0,0,0,0,0,3,0,0.6,0.6,0.4,1.0,7,2,14,0.0,0.0,0.0,0.0,0.0,0.41,0.28,0.69,0.41,0.69
2425,Arsenal,Gabriel Magalhães,BRA,DF,26-332,1997,11,11,953,10.6,2,0,2,2,0,0,1,0,1.4,1.4,0.4,1.8,3,30,6,0.19,0.0,0.19,0.19,0.19,0.14,0.03,0.17,0.14,0.17
2425,Arsenal,Gabriel Martinelli,BRA,"MF,FW",23-150,2001,11,8,682,7.6,3,2,5,3,0,0,0,0,2.1,2.1,1.7,3.8,39,15,89,0.4,0.26,0.66,0.4,0.66,0.27,0.23,0.5,0.27,0.5
2425,Arsenal,Jakub Kiwior,POL,DF,24-274,2000,4,0,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Arsenal,Jorginho,ITA,MF,32-331,1991,3,2,155,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,2,9,0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
2425,Arsenal,Jurriën Timber,NED,DF,23-151,2001,9,8,683,7.6,0,1,1,0,0,0,3,0,0.4,0.4,0.5,0.9,12,31,22,0.0,0.13,0.13,0.0,0.13,0.05,0.07,0.11,0.05,0.11
2425,Arsenal,Kai Havertz,GER,FW,25-157,1999,11,11,990,11.0,4,1,5,4,0,0,2,0,4.5,4.5,1.1,5.7,20,33,60,0.36,0.09,0.45,0.36,0.45,0.41,0.1,0.52,0.41,0.52
2425,Arsenal,Leandro Trossard,BEL,FW,29-347,1994,11,7,580,6.4,2,0,2,2,0,0,2,1,2.0,2.0,0.8,2.8,16,27,32,0.31,0.0,0.31,0.31,0.31,0.31,0.12,0.43,0.31,0.43
2425,Arsenal,Martin Ødegaard,NOR,MF,25-334,1998,4,4,343,3.8,0,1,1,0,0,0,1,0,0.6,0.6,0.7,1.2,10,29,13,0.0,0.26,0.26,0.0,0.26,0.15,0.18,0.32,0.15,0.32
2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-146,1996,5,3,280,3.1,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.5,2,19,16,0.32,0.0,0.32,0.32,0.32,0.33,0.15,0.48,0.33,0.48
2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-050,2006,2,0,16,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27-336,1996,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Arsenal,Raheem Sterling,ENG,"MF,FW",29-343,1994,4,2,123,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,9,3,12,0.0,0.0,0.0,0.0,0.0,0.24,0.03,0.28,0.24,0.28
